0,１ ２,男,３,111-222-222,1@2,雑誌 新聞 その他,AAA,1111
1,１ ２,男,３,111-222-222,1@2,雑誌 新聞 その他,AAA,1111
2,１ ２,男,３,111-222-222,1@2,雑誌 新聞 その他,AAA,1111
3,鈴木 一郎,不明,東京都,000-111-2222,1234@4444,雑誌 新聞 その他,BBB,i aa bb iii ppp　あああ<br>aaaaa<br>aaaa 
4,1 1,男,11,111-1111-1111,1111@222222,雑誌,AAA,1111<br>1111
5,鈴木 太郎,男,東京都,111-1111-1111,111111@11111,雑誌 新聞 その他,BBB,1111<br>111<br>11111<br>11111<br>11111 1
6,鈴木 太郎,男,東京都,111-1111-1111,111111@11111,雑誌 新聞 その他,BBB,1111<br>111<br>11111<br>11111<br>11111 1
7,1111 11,不明,1111,111-11-1111,1111@111,雑誌 新聞 その他,AAA,1111
8,111 111,不明,1111,111-111-1111,111@1111,雑誌,AAA,11111
9,111 111,不明,1111,111-111-1111,111@1111,雑誌,AAA,11111
10,111 111,不明,1111,111-111-1111,111@1111,雑誌,AAA,11111
11,111 111,不明,1111,111-111-1111,111@1111,雑誌,AAA,11111
12,111 111,不明,1111,111-111-1111,111@1111,雑誌,AAA,11111
13,111 111,不明,1111,111-111-1111,111@11111,新聞,AAA,11111
