0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,雑誌,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,雑誌,,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,雑誌,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,雑誌,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,雑誌,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,雑誌,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
0,あああ いいい,男,１１１１１１１,111-1111-1111,111@111111,雑誌,新聞,その他,AAA,1111111
1,aaa aaa,不明,aaaa,1111-1111-111111,1111@1111,,,,BBB,1111
